コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
tzP-QnwT3lU,"【WYMの代表作、”¥7,700の最強アウター”】昨年3万枚以上売れた冬の代表作が今季アップデートを遂げて登場。コスパ◎シルエット◎でマジでWYM史上最強です。","Sep 27, 2024",2548,165863
yXMSwHl699I,【ユニクロUで大優勝確定！】アパレル社長が絶対買うべき神アイテム5選を教えます！コレはマジですげえ...！！WYM 24WINTER 1ST 10/4(FRI) RELEASE.,"Sep 27, 2024",1397,220637
jC7paqUyW6I,【GU神アウター3選】短丈きたぁぁああ！！レディースで掘り出し物あったから教えちゃう！！！,"Sep 25, 2024",720,81582
sW2Il61DPAw,【勘違いおじさん】オシャレだと思ってるおじさんあるある【当てはまってたらヤバい】,"Sep 24, 2024",731,84037
V55Zym96K2g,【気づかぬ悲しきおじさん達】40代50代世代が昭和→令和で一気に老化ファッションになる恐ろしい原因が...,"Sep 23, 2024",1266,61045
EU_OBd9pvOM,【懐かしいけどNG!?】7年前のコーデ、今着てたらダサいってマジ!?www,"Sep 22, 2024",1145,106612
CkACzwk6AIg,【本音ぶっちゃけます】ユニクロCで買わない方がいいアイテム19選。LIDNM 24FALL 2ND COLLECTION 9/21 RELEASE.,"Sep 18, 2024",1177,89839
55TLxF8FBZ8,【GU絶対買いトップス】秋冬が楽しみになるニットとシャツ教えます！！コスパ最強すぎる！！！LIDNM 24FALL 2ND COLLECTION 9/21 RELEASE.,"Sep 16, 2024",816,106957
zwD5WHYzfvs,【即　完　売　注　意】名作確定の本革レザーアウターと最高傑作につき最高額の至極のジュエリーが登場。本格的な秋冬新作始まります。LIDNM 24FALL 2ND 9/21 RELEASE.,"Sep 14, 2024",2847,60542
ux9vR93t7NU,【圧倒的にお洒落な自分へ】2024年秋冬、差別化のためのメンズアイテム17選こっそり教えちゃいます。,"Sep 13, 2024",1242,54774
lJdGRtTWvOg,"【超爆買い】アウターにデニムが最高だった！！80万円も買っちゃった。。。Acne Studios,COMOLI,Ernie Ploなどなど","Sep 12, 2024",1164,35606
_FMupOpoI3c,【AURALEE購入品】服好きならたまらないアイテムを5点購入！！素材感たまらなすぎ。。。,"Sep 11, 2024",1295,48693
Fo-bAc_TTQ4,【99%モテる神コーデ7選】モテ男子だけが知ってる最強コーデをこっそり教えちゃいます！！,"Sep 10, 2024",840,56390
BbLoqgKBcDQ,【絶対成功する】秋に絶対買うべきパンツ10選教えちゃいます！！2024ver,"Sep 9, 2024",1101,77120
xZ05iKr6gQ8,【もう迷わない‼︎】秋に絶対買うべきトップス5選教えちゃいます！2024ver,"Sep 7, 2024",860,72474
lMXlbaguD0c,【ユニクロC絶対買い5選】全部買った男が一番おすすめのアイテム教えます！！完売前にみて！！WYM was finally released today.,"Sep 6, 2024",1420,220015
Kk24AMUy-T4,【神アウター8選】初心者から上級者まで！秋に絶対買うべきアウター教えます！2024ver WYM 24AUTUMN 2ND 9/6(FRI) RELEASE.,"Sep 5, 2024",1139,67116
PPz1giyFEIQ,【成功する】秋に絶対買うべきメンズ服18選教えちゃいます。初級編中級編！2024ver WYM 24AUTUMN 2ND 9/6(FRI) RELEASE.,"Sep 4, 2024",1412,106905
9UdRv0j6vwM,【は？】げんじなんでUNIQLOで小さいサイズを買ったの？？？WYM 24AUTUMN 2ND 9/6(FRI) RELEASE.,"Sep 2, 2024",1298,85712
_4y25S-iWHI,【真似するだけ!!】変わりたい君へ。まずはお洒落な人の秋コーデを丸ごとパクるのが大事です【秋コーデTOP10】WYM 24AUTUMN 2ND 9/6(FRI) RELEASE.,"Sep 1, 2024",1357,58486
y0fFKtC6Jkk,【脱おじさん】40代50代はこの服だけでいい⁉︎ イケオジの作り方教えます。LIDNM will be finally released today.,"Aug 31, 2024",1533,83032
Ms0ZBHq6NNQ,【間違いなく過去最強】これを超える秋アウターが見つからない。マジでコスパが最高なブルゾンが完成しました。WYM 24AUTUMN 2ND 9/6(FRI) RELEASE.,"Aug 30, 2024",2843,179322
GtBTRsM3Nu8,【40代50代が今穿くとモテる】ユニクロで絶対買うべきパンツ3選を教えます！LIDNM 24FALL 1ST COLLECTION 8/31(Sat) RELEASE.,"Aug 29, 2024",1458,343530
lCAsv3OOlOA,【40代50代】UNIQLOで買える大人の鉄板トップスアウター5選！LIDNM 24FALL 1ST COLLECTION 8/31(Sat) RELEASE.,"Aug 28, 2024",1387,251306
sEgMKsv5IiA,【UNIQLO絶対買いパンツ】最近パンツ買ってる？まず持っておくべき大人の秋パンツ3選！LIDNM 24FALL 1ST COLLECTION 8/31(Sat) RELEASE.,"Aug 27, 2024",1077,219434
Eb8-MZVA8H0,【UNIQLO神アウター】ユニクロ好きも知らない!!?今年トレンドのアウターの選び方もご紹介します！！LIDNM 24FALL 1ST COLLECTION 8/31(Sat) RELEASE.,"Aug 26, 2024",997,90097
XEn4JGMhTys,【絶対成功する】2024年はこのトレンドを押さえれば失敗しません！国内トレンド編 LIDNM 24FALL 1ST COLLECTION 8/31(Sat) RELEASE.,"Aug 25, 2024",917,129400
iNucXnUtpEY,【全　て　が　主　役　級】”シルク100%”、”加工レザー”、”キュプラ100%”と粒揃いのラインナップで過去最高の秋冬立ち上がり。Llifeの新作ジュエリーと人気再販アイテムも見逃すな。,"Aug 24, 2024",3236,57600
U1IF2IdQe94,"【40代50代NGメンズ服】何故""おじさん""と言われてしまうのかわかりやすく解説します。。","Aug 23, 2024",1621,219678
2UxRqKwoD7U,【イタリア・ローマ・ギリシャ vlog】写真と服好きのアパレル社長の7日間のコーデとSNAP~100万人記念~,"Aug 19, 2024",3440,13902
MfokTmO4xjE,【2024秋冬に流行るメンズファッション】アパレル社長が教える絶対買うべきアイテム６選！海外コレクション編,"Aug 18, 2024",1175,151659
EvM5akxeaRA,【店舗行く前に絶対見て】GUやUNIQLOの注目アイテムまとめてご紹介！ワークマンも！,"Aug 14, 2024",5709,64341
JNTbATXlToc,【NGメンズファッションあるある】あなたもついやってない？やりがちなNGパターン教えます！,"Aug 13, 2024",1307,61328
r5oLRDV-C8o,【服を買う前に絶対やって】最速でお洒落になり彼女を作る方法を本気で教えます。,"Aug 10, 2024",922,26453
mhpQuQz2CG4,【あなたがダサい理由】ファッション初心者がやりがちな組み合わせ方を教えます。WYM was finally released today.,"Aug 9, 2024",933,45538
XHCg4QEKURk,【今超話題のGUデニム】バレルレッグジーンズはぶっちゃけおすすめ？WYMと徹底比較してみた！！WYM 24AUTUMN 1ST 8/9(FRI) RELEASE.,"Aug 8, 2024",1116,117518
WP-nSL_Ze3M,【GUで2990円で評価98点】全年齢の男1本持っておいてってレベルの神パンツ教えます！！ WYM 24AUTUMN 1ST 8/9(FRI) RELEASE.,"Aug 7, 2024",1041,114078
KfLGKJgTEso,【GU即買い】夏から冬まで使える神パンツがとにかく最高だった、、！！シルエット◎トレンド感◎コスパ◎色味◎素材◎ WYM 24AUTUMN 1ST 8/9(FRI) RELEASE.,"Aug 6, 2024",828,110898
Kvp6MYzjMKI,【40代50代向け】今の時代に、脱おじさんするために必要な安くて高品質なアイテム7選！24AUTUMN 1ST 8/9(FRI) RELEASE.,"Aug 4, 2024",1508,129785
aUtn0dip_x4,"【新　次　元　突　入】今季よりWYMの秋冬新作は""別次元の加工""や""新次元スタイル""で提案します。ヴィンテージデニム、正直ぶっちぎりでエグいです。","Aug 2, 2024",3308,187852
enqwfKYHiT8,"【本当に神回】""黒歴史ファッション""と""今のファッション""募集したら全員垢抜過ぎwwwwwww","Aug 1, 2024",2799,23584
UEA6QSiaMZQ,今月買って良かったものランキングBEST10！ガジェットからどエロい香水まで。 GENJI’S UXEI Selects #002,"Jul 31, 2024",1171,23820
dZAN7iF51wU,【開封動画】服好きの最近の購入品レビュー！デニム /靴 / 香水 / 腕時計 / 〇〇〇〇...,"Jul 29, 2024",1528,43789
YQD7O5P2nXs,【臭い男＜モテる男】女性に嫌われたくない人〜。正直これ買うだけっすw 汗 脇 足 デートでヤバいよ？,"Jul 28, 2024",1025,43384
1YgqNEwaFfk,【これ1本でおけ！】ユニクロの神デニムが絶対買いすぎた！！ファッション初心者から中級も！,"Jul 27, 2024",737,164481
qGCLLZSo40w,"【持ってるアクセ全部紹介】総額1500万以上!?ブレスレット/バングル編。エルメス,Cartier,TIFFANY&Co.","Jul 23, 2024",1799,78790
8ffvC02wkt8,【新ブランド！？！？】今までのテイストから新たなLIDNMへ。FWから進化したデザインがマジでやばいです。。。好きすぎる。24PRE FALL COLLECTION 7/27(Sat) RELEASE,"Jul 20, 2024",1381,35627
te-GddPO0E4,【夏の出勤服】11名のアパレル社員を抜き打ちコーデチェックしてみたｗｗｗZOZO WYM 人気ブランド着用多数,"Jul 19, 2024",2461,36634
Z8-mzD7HSv0,【DIESEL新作】人気爆発！！！バチバチにイケてる、ディーゼル60万円分購入品レビューしちゃいます！！,"Jul 17, 2024",1110,58898
iOE4miSF_Jg,【脱おじさん】プチプラMIXでも、上品で好印象になれる！大人の魅力を引き出すコーデをご紹介します！,"Jul 15, 2024",1782,359203
vaBgsJp7GSk,【ワークマンvsユニクロ】夏の定番Tシャツ対決！素材、着心地、価格…買うならどっち？,"Jul 13, 2024",1657,42320
FWGLzwmWj8c,【30代ファッション】もうおじさんとは絶対に言わせない！夏コーデのNG例とおすすめコーデ10選！,"Jul 12, 2024",1697,81987
Hl_DZIZKbn8,"【10代20代向け】シチュエーション別で10コーデ！今イケてるコーデ教えます！夏イベント,デート,大学...","Jul 10, 2024",1615,59522
cHOVwspkZJc,【開封動画】ZOZOで10万円分買ったのでテンション爆上げで開封したったwwwww,"Jul 9, 2024",1235,51955
rZzjsF8_2YI,【UNIQLO新作】今トレンド最前線の◯◯◯◯◯◯がコスパ最強で発売されてたので紹介しちゃいます【UTme! & UNIQLO U】,"Jul 8, 2024",1563,90322
J5VxOc2-xVI,【㊗️100万人】正直、やりすぎた。MAX90%OFFの大感謝セールやっちゃいます！！即完売かも。。。,"Jul 6, 2024",1568,156456
__L8PMTQ5HM,【脱おじさん】30~40代の服はこの5点を気をつければ完璧！？ダサいおじさんにならないで！,"Jul 5, 2024",1845,90247
HPHNywk_5-Y,【メンズ服】「何故この組み合わせなの？」を論理的に説明します！センスがなくても大丈夫！,"Jul 2, 2024",1450,46692
Fe3LS5-hT7A,"【黒スニーカー王者決定戦】今買うべきはどのブランド!? New Balance,NIKE,adidas,Salomon...24SUMMER 4TH 7/5(FRI) RELEASE.","Jul 1, 2024",2925,353015
wvqP1Z2sFkI,【げんじが惚れたもの】これマジで最高だったあぁあああ！！！ってものを毎月紹介します！GENJI’S UXEI Selects #001  24SUMMER 4TH 7/5(FRI) RELEASE.,"Jun 29, 2024",2321,40825
ubvl_TKmjx0,【全てが揃う浴衣セット】モテるメンズは夏イベントは絶対浴衣マスト。世の中に無かった”簡単でお洒落な浴衣”をご紹介。24SUMMER 4TH 7/5(FRI) RELEASE.,"Jun 28, 2024",1932,40746
2e54xaCEBIg,"【最強の黒スニーカー】身長が盛れる＆疲れないスニーカーを""1万円以下""で作っちゃいました...！","Jun 27, 2024",1160,69515
guC6-Dgu49k,【GUオススメまとめ】夏ファッション楽しみたい人必見！神アイテムからNGアイテムまで紹介しちゃいます！！,"Jun 24, 2024",3205,74371
IS_01yh5pw0,【ガチお勧めメガネ】こんなメンズの眼鏡、サングラス探してた！MOSCOT / EYEVAN / guepard / JULIUS TART OPTICAL / KANEKO OPTICAL...,"Jun 21, 2024",2416,92758
MsMOnqaCb_Y,"超人気ブランドの黒スニーカー特集【MIZUNO, ARC'TERYX, VANS...】をご紹介！！LIDNM 24SUMMER 3RD COLLECTION 6/22(Sat) RELEASE.","Jun 18, 2024",1133,81044
6C4DFyKrkXk,【遂　に　や　り　ま　す】香水の新型を”全種類ご紹介”超人気ジュエリー新作と〇〇の再販も絶対に見逃すな。LIDNM 24SUMMER 3RD COLLECTION 6/22(Sat) RELEASE.,"Jun 15, 2024",1837,38506
6TAbnQCTnns,"【絶対買いメンズ服】UNIQLO,ZARA,無印で夏に超おすすめのアイテムまとめてご紹介します！！","Jun 13, 2024",2764,65558
vhPM-O3b2rw,【GUの短パンが神】2290円でこれ買えちゃうのまじでバグすぎるwww全員1着持っておいていいレベルwwww,"Jun 11, 2024",661,62443
jO30_-qpC5o,【ネックレス全部紹介】げんじが持ってる総額500万超えのネックレス全部紹介します！！！,"Jun 9, 2024",2293,65827
dnnmHpzH84c,【絶対失敗しない香水の選び方】100個持ってるオタクが間違いない香水教えます！！,"Jun 8, 2024",1320,98014
W4SSIgPwhHg,【最強モテ香水】まじ買わなきゃ損!!女子ウケ抜群の香水をこっそり教えちゃいます！WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 7, 2024",1216,92212
AEN5jRg5ZfM,【超有名ブランドの新ライン】黒スニーカーオタクも大興奮！絶対見逃せない最新黒スニーカーを紹介します！WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 5, 2024",809,52199
StbDE0Cvuj4,【涼しくて最高すぎ】無印良品で夏に絶対着たいアイテムを大発見！！これ知らないのは損レベル！！WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 4, 2024",1156,88255
aFEJQaPcL9M,【全部話します。】実は薄毛で顔もコンプレックスだったけど、ここまで変わることができました。WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 3, 2024",8238,32525
QL1T-bBbpy4,【GU絶対買い】こんなに安くていいの？www 高見えする新作がヤバすぎたwwww WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 2, 2024",785,78814
eGUpyA-ZZAg,【99.9%モテる夏ファッション7選】※ファッション不安な人限定‼︎安くてモテるコーデ教えます。WYM 24SUMMER 3RD 6/7(FRI) RELEASE.,"Jun 1, 2024",951,253241
mV2uoGY9cD0,【眼鏡、マジお待たせ。】遂に遂に遂に。”WYMから初となるアイウェアコレクション8種類登場”価格は正直、間違えた。(割とガチ) 24SUMMER 3RD 6/7(FRI) RELEASE.,"May 31, 2024",1879,86029
bnJ1J2aOXjg,【リアルな意見】東京のお洒落な人に聞いた！普段どのブランドを買う？今日のコーデは？,"May 30, 2024",2291,33793
jmK1C-U3FtA,【AGA治療】ぶっちゃけ効果あるの？いくら掛かる？どこでやってる？全部教えます！※金額に訂正あり。ごめんもっと高かった。。。,"May 29, 2024",2496,470155
